,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,DataOraIncidente,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni
16543,Autovettura,2,0,1,0,0.0,41.9316,12.6265,2019-07-10 11:00:00,1,2,1
16542,Autovettura,2,0,1,0,0.0,41.9316,12.6265,2019-07-10 11:00:00,1,2,0
16541,Autovettura,2,0,1,0,0.0,41.9316,12.6265,2019-07-10 11:00:00,1,2,0
16540,Autovettura,0,0,4,0,0.0,41.9701,12.436,2019-07-10 12:30:00,1,3,1
16539,Autovettura,0,0,4,0,0.0,41.9701,12.436,2019-07-10 12:30:00,1,3,1
16538,Autovettura,0,0,4,0,0.0,41.9701,12.436,2019-07-10 12:30:00,1,3,1
16537,Autovettura,0,0,4,0,0.0,41.9701,12.436,2019-07-10 12:30:00,1,3,1
16536,Motociclo,1,0,1,0,0.0,41.8571,12.4751,2019-07-10 09:40:00,1,1,0
16535,Autovettura,1,0,1,0,0.0,41.8571,12.4751,2019-07-10 09:40:00,1,1,0
16534,Autovettura,0,0,2,0,0.0,41.8587,12.5034,2019-07-10 17:30:00,1,1,0
16557,Autovettura,0,0,3,0,0.0,41.7295,12.2845,2019-07-10 19:42:00,1,2,0
16533,Autovettura,0,0,2,0,0.0,41.8587,12.5034,2019-07-10 17:30:00,1,1,0
16558,Autovettura,0,0,3,0,0.0,41.7295,12.2845,2019-07-10 19:42:00,1,2,0
16560,Autovettura,2,0,0,0,0.0,41.827,12.4591,2019-07-10 18:40:00,1,2,1
16583,Autovettura,2,0,4,0,0.0,41.8469,12.414,2019-07-10 22:50:00,1,2,1
16582,Autovettura,1,0,0,0,0.0,41.8539,12.4486,2019-07-10 19:40:00,1,1,1
16581,Autovettura,1,0,0,0,0.0,41.8539,12.4486,2019-07-10 19:40:00,1,1,1
16580,Motociclo,1,0,1,0,0.0,41.9103,12.4538,2019-07-10 09:30:00,1,2,1
16579,Autovettura,1,0,1,0,0.0,41.9103,12.4538,2019-07-10 09:30:00,1,2,1
16578,Autovettura,0,0,5,0,0.0,41.9412,12.5744,2019-07-10 11:00:00,1,2,0
16577,Autovettura,0,0,5,0,0.0,41.9412,12.5744,2019-07-10 11:00:00,1,2,0
16576,Autocarro,0,0,5,0,0.0,41.9412,12.5744,2019-07-10 11:00:00,1,2,0
16575,Autocarro,0,0,5,0,0.0,41.9412,12.5744,2019-07-10 11:00:00,1,2,0
16574,Autovettura,0,0,5,0,0.0,41.9412,12.5744,2019-07-10 11:00:00,1,2,0
16573,Autovettura,1,0,2,0,0.0,41.8507,12.4854,2019-07-11 04:15:00,1,1,1
16572,Autovettura,1,0,2,0,0.0,41.8507,12.4854,2019-07-11 04:15:00,1,1,1
16571,Autovettura,1,0,2,0,0.0,41.8507,12.4854,2019-07-11 04:15:00,1,1,1
16570,Autovettura,0,0,2,0,0.0,41.8469,12.414,2019-07-10 14:30:00,2,2,0
16569,Autovettura,0,0,2,0,0.0,41.8469,12.414,2019-07-10 14:30:00,2,2,0
16568,Autovettura,0,0,0,1,0.0,41.9997,12.3862,2019-07-11 01:50:00,1,1,0
16567,Autovettura,0,0,2,0,0.0,41.7482,12.3779,2019-07-10 12:10:00,1,2,0
16566,Autovettura,0,0,2,0,0.0,41.7482,12.3779,2019-07-10 12:10:00,1,2,0
16565,Autovettura,0,0,2,0,0.0,41.9479,12.5381,2019-07-10 19:15:00,1,1,1
16564,Autovettura,0,0,2,0,0.0,41.9479,12.5381,2019-07-10 19:15:00,1,1,1
16563,Autovettura,1,0,1,0,0.0,41.7844,12.3643,2019-07-10 16:33:00,1,1,0
16562,Autovettura,1,0,1,0,0.0,41.7844,12.3643,2019-07-10 16:33:00,1,1,1
16561,Autovettura,2,0,0,0,0.0,41.827,12.4591,2019-07-10 18:40:00,1,2,1
16559,Autovettura,0,0,1,0,0.0,41.7403,12.3833,2019-07-10 14:45:00,2,1,1
16532,Autovettura,0,0,1,0,0.0,41.8719,12.4815,2019-07-10 09:00:00,1,2,1
16531,Autovettura,0,0,1,0,0.0,41.8719,12.4815,2019-07-10 09:00:00,1,2,1
16530,Autovettura,0,0,1,0,0.0,41.8953,12.5127,2019-07-09 16:20:00,1,1,1
16501,Autovettura,0,0,2,0,0.0,41.8742,12.5412,2019-07-10 12:35:00,1,2,0
16500,Autovettura,0,0,2,0,0.0,41.8984,12.5857,2019-07-10 13:40:00,1,2,0
16499,Autovettura,0,0,2,0,0.0,41.8984,12.5857,2019-07-10 13:40:00,1,2,0
16498,Autovettura,1,0,1,0,0.0,41.8619,12.4431,2019-07-08 19:00:00,1,2,0
16497,Motociclo,1,0,1,0,0.0,41.8619,12.4431,2019-07-08 19:00:00,1,2,0
16496,Autovettura,0,0,1,0,0.0,41.8131,12.5255,2019-07-09 16:10:00,1,2,1
16495,Autovettura,0,0,3,0,0.0,41.8269,12.4548,2019-07-10 07:45:00,1,2,1
16494,Autovettura,0,0,3,0,0.0,41.8269,12.4548,2019-07-10 07:45:00,1,2,1
16493,Autovettura,0,0,3,0,0.0,41.8269,12.4548,2019-07-10 07:45:00,1,2,1
16492,Autovettura,0,0,3,0,0.0,41.9139,12.474,2019-07-10 12:00:00,1,2,0
16491,Autovettura,0,0,3,0,0.0,41.9139,12.474,2019-07-10 12:00:00,1,2,0
16490,Autovettura,0,0,3,0,0.0,41.9139,12.474,2019-07-10 12:00:00,1,2,0
16489,Autovettura,0,0,2,0,0.0,41.9067,12.4868,2019-07-10 11:35:00,1,3,0
16488,Autovettura,0,0,2,0,0.0,41.9067,12.4868,2019-07-10 11:35:00,1,3,0
16487,Autocarro,1,0,2,0,0.0,41.8845,12.5014,2019-07-10 08:20:00,1,3,0
16486,Autocarro,1,0,2,0,0.0,41.8845,12.5014,2019-07-10 08:20:00,1,3,0
16485,Motociclo,1,0,2,0,0.0,41.8845,12.5014,2019-07-10 08:20:00,1,3,0
16484,Autovettura,0,0,2,0,0.0,41.9009,12.4926,2019-07-10 10:40:00,1,2,0
16483,Autovettura,0,0,2,0,0.0,41.9009,12.4926,2019-07-10 10:40:00,1,2,0
16482,Autovettura,0,0,4,0,0.0,41.9128,12.2868,2019-07-09 20:45:00,1,1,0
16481,Autovettura,0,0,4,0,0.0,41.9128,12.2868,2019-07-09 20:45:00,1,1,0
16480,Autovettura,0,0,4,0,0.0,41.9128,12.2868,2019-07-09 20:45:00,1,1,0
16479,Autovettura,0,0,4,0,0.0,41.9128,12.2868,2019-07-09 20:45:00,1,1,0
16502,Autovettura,0,0,2,0,0.0,41.8742,12.5412,2019-07-10 12:35:00,1,2,1
16503,Autocarro,0,0,2,0,0.0,41.8838,12.5656,2019-07-10 15:25:00,2,2,0
16504,Autovettura,0,0,2,0,0.0,41.8838,12.5656,2019-07-10 15:25:00,2,2,0
16505,Autovettura,0,0,3,0,0.0,41.8789,12.518,2019-07-10 15:30:00,1,2,0
16529,Autovettura,0,0,1,0,0.0,41.8953,12.5127,2019-07-09 16:20:00,1,1,0
16528,Motociclo,2,0,3,0,0.0,41.8954,12.5182,2019-07-09 14:20:00,1,3,1
16527,Motociclo,2,0,3,0,0.0,41.8954,12.5182,2019-07-09 14:20:00,1,3,1
16526,Autovettura,2,0,3,0,0.0,41.8954,12.5182,2019-07-09 14:20:00,1,3,1
16525,Autovettura,2,0,3,0,0.0,41.8954,12.5182,2019-07-09 14:20:00,1,3,1
16524,Autovettura,2,0,3,0,0.0,41.8954,12.5182,2019-07-09 14:20:00,1,3,1
16523,Autovettura,0,0,2,0,0.0,41.9057,12.4589,2019-07-09 20:00:00,1,2,1
16522,Autovettura,0,0,2,0,0.0,41.9057,12.4589,2019-07-09 20:00:00,1,2,0
16521,Autovettura,0,0,2,0,0.0,41.9088,12.5202,2019-07-08 17:50:00,1,2,1
16520,Motociclo,0,0,2,0,0.0,41.9088,12.5202,2019-07-08 17:50:00,1,2,1
16519,Autovettura,0,0,2,0,0.0,41.879,12.5444,2019-07-10 17:40:00,1,2,1
16477,Autocarro,0,0,3,0,0.0,41.8666,12.4441,2019-07-09 12:30:00,3,2,1
16518,Motociclo,0,0,2,0,0.0,41.879,12.5444,2019-07-10 17:40:00,1,2,1
16516,Autovettura,0,0,2,0,0.0,41.9004,12.5138,2019-07-08 17:20:00,1,2,0
16515,Autovettura,0,0,2,0,0.0,41.8948,12.5167,2019-07-08 12:10:00,1,2,0
